Username,Most Inclined to Use,Least Inclined to Use,Most Effort,Least Effort
svpxa,Topic Preference: Like Button & Dislike Button,Input Number of Recommendations Per Model,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
berki999,Explicit Rating Feedback: Like Button & Dislike Button,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Five-Star Rating,Explicit Rating Feedback: Like Button & Dislike Button
Livia,Explicit Rating Feedback: Like Button & Dislike Button,Diversity Slider,Input Number of Recommendations Per Model,Explicit Rating Feedback: Like Button & Dislike Button
Edith,Explicit Rating Feedback: Like Button & Dislike Button,Explicit Rating Feedback: Five-Star Rating,Explicit Rating Feedback: Five-Star Rating,Explicit Rating Feedback: Like Button & Dislike Button
admin,Diversity Slider,Dislike Reasons: Selectors,Topic Preferences: Chart and Sliders,Input Number of Recommendations Per Model
ABC,Explicit Rating Feedback: Like Button & Dislike Button,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Five-Star Rating,Explicit Rating Feedback: Like Button & Dislike Button
Wenqiang123,Explicit Rating Feedback: Like Button & Dislike Button,Topic Preferences: Chart and Sliders,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
ff,Explicit Rating Feedback: Like Button & Dislike Button,Topic Preferences: Chart and Sliders,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
tang666,Explicit Rating Feedback: Like Button & Dislike Button,Diversity Slider,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
Camilla,Topic Preferences: Chart and Sliders,Diversity Slider,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
elmeguelo,Diversity Slider,Input Number of Recommendations Per Model,Input Number of Recommendations Per Model,Explicit Rating Feedback: Like Button & Dislike Button
MariaRosa,Topic Preferences: Chart and Sliders,Input Number of Recommendations Per Model,Topic Preferences: Chart and Sliders,Topic Preferences: Chart and Sliders
pablodls,Topic Preferences: Chart and Sliders,Topic Preference: Like Button & Dislike Button,Topic Preference: Like Button & Dislike Button,Explicit Rating Feedback: Like Button & Dislike Button
Doraemon,Topic Preference: Like Button & Dislike Button,Explicit Rating Feedback: Like Button & Dislike Button,Topic Preferences: Chart and Sliders,Topic Preference: Like Button & Dislike Button
leif,Explicit Rating Feedback: Like Button & Dislike Button,Explicit Rating Feedback: Five-Star Rating,Topic Preference: Like Button & Dislike Button,Explicit Rating Feedback: Like Button & Dislike Button
pppenguin,Explicit Rating Feedback: Like Button & Dislike Button,Topic Preference: Like Button & Dislike Button,Topic Preference: Like Button & Dislike Button,Explicit Rating Feedback: Like Button & Dislike Button
bachianbabe,Topic Preference: Like Button & Dislike Button,Topic Preferences: Chart and Sliders,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
RZou,Topic Preference: Like Button & Dislike Button,Input Number of Recommendations Per Model,Input Number of Recommendations Per Model,Explicit Rating Feedback: Like Button & Dislike Button
christoph,Explicit Rating Feedback: Five-Star Rating,Topic Preferences: Chart and Sliders,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
yzllzy,Dislike Reasons: Selectors,Topic Preferences: Chart and Sliders,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
garrocha,Topic Preferences: Chart and Sliders,Input Number of Recommendations Per Model,Diversity Slider,Explicit Rating Feedback: Like Button & Dislike Button
pablostrecker,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Five-Star Rating,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
ziixii,Explicit Rating Feedback: Like Button & Dislike Button,Topic Preferences: Chart and Sliders,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
Jesus,Topic Preferences: Chart and Sliders,Input Number of Recommendations Per Model,,Explicit Rating Feedback: Like Button & Dislike Button
Helloworld,Explicit Rating Feedback: Like Button & Dislike Button,Topic Preferences: Chart and Sliders,Diversity Slider,Explicit Rating Feedback: Like Button & Dislike Button
ji,Explicit Rating Feedback: Like Button & Dislike Button,Diversity Slider,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
Ender,Topic Preferences: Chart and Sliders,Diversity Slider,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
pablosol,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Five-Star Rating,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
scaredbrontosaurus,Explicit Rating Feedback: Like Button & Dislike Button,Explicit Rating Feedback: Five-Star Rating,Input Number of Recommendations Per Model,Explicit Rating Feedback: Like Button & Dislike Button
beatrizjerez,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
nicoarteaga,Explicit Rating Feedback: Like Button & Dislike Button,Diversity Slider,Topic Preferences: Chart and Sliders,Explicit Rating Feedback: Like Button & Dislike Button
Shop,Diversity Slider,Explicit Rating Feedback: Five-Star Rating,Explicit Rating Feedback: Five-Star Rating,Explicit Rating Feedback: Like Button & Dislike Button
Priya,Dislike Reasons: Selectors,Topic Preference: Like Button & Dislike Button,Topic Preferences: Chart and Sliders,Dislike Reasons: Selectors
