userId,social_media_frequency,recommender_system_familiarity,Checked truthfulness of online content past 3 months,Seen doubtful online content past 3 months,Expressed opinions on civic or political issues on websites or social media past 3 months,Read privacy policy statements before providing data past 3 months,Limited access to profile or content on social networks or online storage past 3 months,Refused the use of personal data for advertising past 3 months,Is concerned that online activities are being used for tailored advertising,"Changed settings of software, app or device past 3 months"
Livia,daily,familiar,3,3,2,2,4,3,3,5
berki999,multiple_times,slightly_familiar,4,4,4,2,4,5,3,4
svpxa,multiple_times,not_familiar,4,5,2,1,2,4,5,1
Edith,multiple_times,slightly_familiar,3,4,1,4,3,4,5,4
admin,multiple_times,familiar,1,4,1,1,1,5,5,3
ABC,rarely,not_familiar,5,1,1,1,1,5,5,5
Wenqiang123,daily,slightly_familiar,2,4,2,2,4,4,4,2
ff,multiple_times,slightly_familiar,2,3,1,2,4,4,5,4
tang666,multiple_times,slightly_familiar,2,5,1,2,5,2,4,2
Camilla,multiple_times,very_familiar,4,5,5,2,2,4,5,4
elmeguelo,multiple_times,familiar,4,5,5,1,2,2,4,1
MariaRosa,daily,not_familiar,1,2,1,1,1,1,5,1
Doraemon,daily,slightly_familiar,3,4,1,1,4,4,3,4
leif,daily,slightly_familiar,5,5,1,2,3,4,3,4
pablodls,daily,very_familiar,2,4,1,1,3,1,4,3
pppenguin,daily,familiar,4,4,1,3,5,5,5,4
bachianbabe,daily,familiar,3,5,5,1,3,5,5,5
RZou,multiple_times,slightly_familiar,1,3,1,1,2,3,4,4
christoph,daily,familiar,2,5,4,1,3,4,3,2
yzllzy,multiple_times,familiar,2,3,1,1,1,4,3,4
garrocha,multiple_times,familiar,2,5,1,5,5,4,4,4
pablostrecker,multiple_times,very_familiar,4,4,4,2,2,2,1,1
ziixii,multiple_times,familiar,2,2,2,4,4,4,4,4
Jesus,multiple_times,very_familiar,2,2,5,1,2,3,1,4
Helloworld,multiple_times,slightly_familiar,5,4,1,5,5,3,5,1
ji,daily,familiar,4,5,3,2,1,2,3,4
Ender,multiple_times,very_familiar,4,4,4,2,4,2,2,3
pablosol,multiple_times,very_familiar,4,4,3,2,4,2,4,4
scaredbrontosaurus,multiple_times,slightly_familiar,2,5,1,1,4,1,5,4
beatrizjerez,multiple_times,familiar,3,5,2,2,3,4,4,4
nicoarteaga,daily,familiar,4,4,4,1,4,5,4,5
Shop,multiple_times,very_familiar,4,4,4,1,4,3,4,4
Priya,multiple_times,slightly_familiar,1,1,1,1,1,5,5,5
